Object Name,Bounding Box,Area,Overlap Area,Percentage
Bia_Truc_Bach,"(381, 230), (462, 447)",17577.0,0.0,0.0
Heiniken,"(285, 222), (378, 444)",20646.0,0.0,0.0
Fanta,"(55, 12), (307, 163)",38052.0,0.0,0.0
Fanta,"(112, 120), (354, 249)",31218.0,0.0,0.0
Fanta,"(172, 149), (408, 338)",44604.0,0.0,0.0
Fanta,"(116, 185), (340, 392)",46368.0,0.0,0.0
Fanta,"(60, 166), (291, 368)",46662.0,0.0,0.0
Fanta,"(271, 168), (517, 387)",53874.0,0.0,0.0
Fanta,"(287, 59), (532, 284)",55125.0,0.0,0.0
Fanta,"(229, 65), (477, 281)",53568.0,0.0,0.0
Fanta,"(52, 105), (303, 307)",50702.0,0.0,0.0
Fanta,"(132, 211), (379, 407)",48412.0,0.0,0.0
Heiniken,"(433, 170), (523, 384)",19260.0,20333.7,100.0
Bia_Truc_Bach,"(518, 188), (588, 391)",14210.0,2249.4,15.8
Heiniken,"(432, 172), (524, 385)",19596.0,20352.6,100.0
Bia_Truc_Bach,"(297, 191), (531, 430)",55926.0,0.0,0.0
Bia_Truc_Bach,"(116, 212), (337, 450)",52598.0,0.0,0.0
Bia_Truc_Bach,"(60, 222), (279, 453)",50589.0,0.0,0.0
Bia_Truc_Bach,"(358, 206), (587, 424)",49922.0,0.0,0.0
Bia_Truc_Bach,"(352, 73), (574, 246)",38406.0,0.0,0.0
Bia_Truc_Bach,"(214, 88), (424, 251)",34230.0,0.0,0.0
Bia_Truc_Bach,"(96, 113), (284, 274)",30268.0,0.0,0.0
Heiniken,"(274, 179), (363, 394)",19135.0,0.0,0.0
Bia_Truc_Bach,"(370, 188), (448, 400)",16536.0,0.0,0.0
Bia_Truc_Bach,"(261, 187), (342, 399)",17172.0,0.0,0.0
Heiniken,"(157, 182), (247, 396)",19260.0,0.0,0.0
Bia_Truc_Bach,"(173, 189), (256, 405)",17928.0,0.0,0.0
Heiniken,"(71, 188), (162, 403)",19565.0,0.0,0.0
Heiniken,"(31, 159), (123, 369)",19320.0,0.0,0.0
Bia_Truc_Bach,"(132, 158), (217, 372)",18190.0,18167.1,99.9
Bia_Truc_Bach,"(133, 158), (218, 372)",18190.0,18167.1,99.9
Heiniken,"(29, 52), (142, 269)",24521.0,1874.1,7.6
Bia_Truc_Bach,"(133, 52), (224, 266)",19474.0,1874.1,9.6
Heiniken,"(157, 26), (257, 245)",21900.0,0.0,0.0
Bia_Truc_Bach,"(266, 37), (349, 253)",17928.0,0.0,0.0
Bia_Truc_Bach,"(387, 58), (471, 268)",17640.0,0.0,0.0
Heiniken,"(288, 40), (386, 258)",21364.0,21288.3,99.6
Heiniken,"(288, 40), (386, 260)",21560.0,21288.3,98.7
Bia_Truc_Bach,"(447, 85), (525, 294)",16302.0,0.0,0.0
Heiniken,"(353, 65), (446, 283)",20274.0,0.0,0.0
Bia_Truc_Bach,"(477, 155), (554, 365)",16170.0,310.3,1.9
Heiniken,"(389, 142), (478, 360)",19402.0,310.3,1.6
Heiniken,"(420, 249), (515, 476)",21565.0,662.4,3.1
Bia_Truc_Bach,"(512, 261), (584, 473)",15264.0,662.4,4.3
Heiniken,"(440, 336), (535, 480)",13680.0,919.8,6.7
Bia_Truc_Bach,"(528, 346), (603, 480)",10050.0,919.8,9.2
Heiniken,"(300, 337), (400, 480)",14300.0,368.6,2.6
Bia_Truc_Bach,"(397, 340), (487, 479)",12510.0,368.6,2.9
Heiniken,"(205, 286), (291, 480)",16684.0,0.0,0.0
Bia_Truc_Bach,"(307, 290), (388, 480)",15390.0,0.0,0.0
Bia_Truc_Bach,"(249, 217), (334, 429)",18020.0,0.0,0.0
Heiniken,"(154, 214), (246, 424)",19320.0,0.0,0.0
Bia_Truc_Bach,"(189, 167), (270, 382)",17415.0,0.0,0.0
Heiniken,"(91, 169), (184, 378)",19437.0,0.0,0.0
Heiniken,"(24, 152), (113, 356)",18156.0,0.0,0.0
Bia_Truc_Bach,"(116, 145), (199, 354)",17347.0,0.0,0.0
Bia_Truc_Bach,"(59, 125), (147, 337)",18656.0,0.0,0.0
Heiniken,"(0, 140), (58, 340)",11600.0,0.0,0.0
Bia_Truc_Bach,"(197, 127), (278, 335)",16848.0,0.0,0.0
Heiniken,"(98, 130), (190, 331)",18492.0,0.0,0.0
Bia_Truc_Bach,"(324, 106), (408, 318)",17808.0,0.0,0.0
Heiniken,"(231, 95), (314, 303)",17264.0,0.0,0.0
Bia_Truc_Bach,"(402, 136), (482, 344)",16640.0,0.0,0.0
Heiniken,"(306, 119), (398, 339)",20240.0,0.0,0.0
Heiniken,"(367, 153), (462, 371)",20710.0,1440.9,7.0
Bia_Truc_Bach,"(455, 163), (536, 374)",17091.0,1440.9,8.4
Heiniken,"(433, 222), (513, 435)",17040.0,801.1,4.7
Bia_Truc_Bach,"(509, 238), (588, 435)",15563.0,801.1,5.1
Heiniken,"(446, 265), (525, 475)",16590.0,1371.6,8.3
Bia_Truc_Bach,"(518, 281), (603, 479)",16830.0,1371.6,8.1
Heiniken,"(300, 183), (387, 400)",18879.0,0.0,0.0
Bia_Truc_Bach,"(388, 197), (476, 409)",18656.0,0.0,0.0
Heiniken,"(188, 79), (275, 288)",18183.0,345.3,1.9
Bia_Truc_Bach,"(274, 84), (359, 298)",18190.0,345.3,1.9
Heiniken,"(172, 142), (256, 346)",17136.0,185.8,1.1
Bia_Truc_Bach,"(255, 147), (332, 351)",15708.0,185.8,1.2
Bia_Truc_Bach,"(241, 234), (319, 440)",16068.0,0.0,0.0
Heiniken,"(158, 228), (238, 428)",16000.0,0.0,0.0
Bia_Truc_Bach,"(158, 199), (239, 404)",16605.0,395.3,2.4
Heiniken,"(81, 197), (160, 397)",15800.0,395.3,2.5
Heiniken,"(0, 186), (63, 381)",12285.0,1014.0,8.3
Bia_Truc_Bach,"(58, 184), (138, 389)",16400.0,1014.0,6.2
Bia_Truc_Bach,"(122, 263), (204, 466)",16646.0,1483.6,8.9
Heiniken,"(53, 260), (130, 460)",15400.0,1483.6,9.6
Bia_Truc_Bach,"(395, 186), (476, 396)",17010.0,819.5,4.8
Heiniken,"(308, 177), (397, 388)",18779.0,18970.2,100.0
Heiniken,"(308, 177), (397, 387)",18690.0,18860.7,100.0
Heiniken,"(391, 86), (494, 297)",21733.0,767.1,3.5
Bia_Truc_Bach,"(490, 100), (571, 303)",16443.0,767.1,4.7
Bia_Truc_Bach,"(518, 162), (593, 357)",14625.0,1561.3,10.7
Heiniken,"(438, 150), (526, 353)",17864.0,1561.3,8.7
Bia_Truc_Bach,"(506, 240), (592, 438)",17028.0,702.0,4.1
Heiniken,"(427, 228), (509, 436)",17056.0,702.0,4.1
Heiniken,"(309, 201), (392, 414)",17679.0,0.0,0.0
Bia_Truc_Bach,"(395, 216), (486, 422)",18746.0,0.0,0.0
Bia_Truc_Bach,"(295, 198), (379, 411)",17892.0,0.0,0.0
Heiniken,"(201, 191), (286, 401)",17850.0,0.0,0.0
Bia_Truc_Bach,"(159, 176), (243, 391)",18060.0,392.1,2.2
Heiniken,"(76, 174), (161, 381)",17595.0,392.1,2.2
Heiniken,"(26, 157), (104, 363)",16068.0,616.3,3.8
Bia_Truc_Bach,"(101, 156), (188, 373)",18879.0,616.3,3.3
Bia_Truc_Bach,"(174, 211), (366, 405)",37248.0,0.0,0.0
Bia_Truc_Bach,"(193, 323), (401, 425)",21216.0,5717.1,26.9
Heiniken,"(171, 394), (381, 480)",18060.0,5717.1,31.7
Bia_Truc_Bach,"(282, 279), (490, 371)",19136.0,2602.4,13.6
Heiniken,"(259, 358), (482, 452)",20962.0,2602.4,12.4
Heiniken,"(346, 197), (564, 291)",20492.0,0.0,0.0
Bia_Truc_Bach,"(403, 120), (615, 220)",21200.0,4579.0,21.6
Heiniken,"(383, 197), (602, 298)",22119.0,4579.0,20.7
Bia_Truc_Bach,"(375, 220), (590, 320)",21500.0,3625.0,16.9
Heiniken,"(350, 302), (571, 402)",22100.0,3625.0,16.4
Bia_Truc_Bach,"(314, 229), (536, 328)",21978.0,0.0,0.0
Heiniken,"(276, 331), (498, 440)",24198.0,0.0,0.0
Bia_Truc_Bach,"(332, 76), (550, 177)",22018.0,2707.6,12.3
Heiniken,"(303, 163), (524, 269)",23426.0,2707.6,11.6
Bia_Truc_Bach,"(340, 139), (566, 247)",24408.0,2599.4,10.6
Heiniken,"(307, 233), (529, 343)",24420.0,2599.4,10.6
Bia_Truc_Bach,"(136, 231), (362, 332)",22826.0,809.4,3.5
Heiniken,"(119, 328), (336, 423)",20615.0,809.4,3.9
Heiniken,"(69, 402), (286, 480)",16926.0,826.9,4.9
Bia_Truc_Bach,"(76, 312), (304, 406)",21432.0,20734.8,96.7
Bia_Truc_Bach,"(77, 310), (305, 400)",20520.0,19908.0,97.0
Bia_Truc_Bach,"(117, 390), (338, 479)",19669.0,0.0,0.0
Bia_Truc_Bach,"(297, 177), (508, 280)",21733.0,2268.3,10.4
Heiniken,"(268, 268), (481, 369)",21513.0,2268.3,10.5
Heiniken,"(351, 209), (562, 319)",23210.0,5348.3,23.0
Bia_Truc_Bach,"(387, 122), (593, 240)",24308.0,5348.3,22.0
Heiniken,"(398, 183), (608, 297)",23940.0,7027.4,29.4
Bia_Truc_Bach,"(437, 98), (637, 224)",25200.0,7027.4,27.9
Heiniken,"(411, 179), (623, 297)",25016.0,7551.5,30.2
Bia_Truc_Bach,"(451, 96), (638, 223)",23749.0,7551.5,31.8
Bia_Truc_Bach,"(442, 198), (638, 319)",23716.0,7424.6,31.3
Heiniken,"(402, 276), (612, 392)",24360.0,7424.6,30.5
Heiniken,"(362, 317), (574, 437)",25440.0,7284.9,28.6
Bia_Truc_Bach,"(403, 246), (611, 360)",23712.0,7284.9,30.7
Heiniken,"(302, 349), (508, 454)",21630.0,4661.1,21.5
Bia_Truc_Bach,"(334, 279), (541, 376)",20079.0,4661.1,23.2
Heiniken,"(176, 340), (389, 436)",20448.0,2811.6,13.8
Bia_Truc_Bach,"(203, 254), (416, 355)",21513.0,2811.6,13.1
Bia_Truc_Bach,"(118, 250), (329, 345)",20045.0,1813.7,9.0
Heiniken,"(100, 335), (310, 426)",19110.0,1813.7,9.5
Bia_Truc_Bach,"(49, 256), (261, 345)",18868.0,435.1,2.3
Heiniken,"(39, 342), (240, 426)",16884.0,435.1,2.6
Heiniken,"(2, 252), (201, 338)",17114.0,495.0,2.9
Bia_Truc_Bach,"(8, 175), (224, 255)",17280.0,495.0,2.9
Bia_Truc_Bach,"(50, 96), (274, 190)",21056.0,1327.9,6.3
Heiniken,"(36, 183), (247, 267)",17724.0,1327.9,7.5
Heiniken,"(128, 150), (333, 246)",19680.0,3261.2,16.6
Bia_Truc_Bach,"(152, 65), (360, 168)",21424.0,3261.2,15.2
Heiniken,"(233, 143), (441, 255)",23296.0,5034.4,21.6
Bia_Truc_Bach,"(270, 61), (479, 173)",23408.0,5034.4,21.5
Bia_Truc_Bach,"(341, 66), (550, 186)",25080.0,6408.5,25.6
Heiniken,"(302, 148), (506, 262)",23256.0,6408.5,27.6
Bia_Truc_Bach,"(398, 111), (605, 236)",25875.0,7937.8,30.7
Heiniken,"(353, 187), (560, 308)",25047.0,7937.8,31.7
Bia_Truc_Bach,"(391, 179), (601, 296)",24570.0,40369.6,100.0
Bia_Truc_Bach,"(390, 177), (602, 298)",25652.0,41079.2,100.0
Heiniken,"(349, 249), (556, 366)",24219.0,40053.2,100.0
Heiniken,"(349, 248), (557, 367)",24752.0,40321.4,100.0
Bia_Truc_Bach,"(388, 212), (596, 330)",24544.0,7662.5,31.2
Heiniken,"(344, 284), (553, 397)",23617.0,7662.5,32.4
Bia_Truc_Bach,"(192, 212), (279, 434)",19314.0,0.0,0.0
Heiniken,"(93, 213), (183, 432)",19710.0,0.0,0.0
Bia_Truc_Bach,"(315, 247), (525, 353)",22260.0,6589.9,29.6
Heiniken,"(283, 315), (487, 423)",22032.0,6589.9,29.9
Heiniken,"(184, 315), (389, 419)",21320.0,10516.5,49.3
Bia_Truc_Bach,"(213, 242), (423, 345)",21630.0,26478.4,100.0
Bia_Truc_Bach,"(213, 244), (424, 345)",21311.0,26502.3,100.0
Heiniken,"(111, 320), (321, 417)",20370.0,3656.4,17.9
Bia_Truc_Bach,"(125, 243), (342, 338)",20615.0,3656.4,17.7
Bia_Truc_Bach,"(202, 188), (341, 395)",28773.0,5476.3,19.0
Heiniken,"(73, 289), (253, 449)",28800.0,5476.3,19.0
Fanta,"(88, 186), (201, 447)",29493.0,29430.3,99.8
Fanta,"(88, 186), (201, 447)",29493.0,29430.3,99.8
Fanta,"(285, 201), (402, 469)",31356.0,0.0,0.0
Fanta,"(492, 204), (615, 479)",33825.0,0.0,0.0
Fanta,"(443, 44), (583, 325)",39340.0,0.0,0.0
Fanta,"(249, 76), (377, 362)",36608.0,0.0,0.0
Bia_Truc_Bach,"(94, 172), (178, 389)",18228.0,0.0,0.0
Heiniken,"(0, 179), (91, 393)",19474.0,0.0,0.0
Fanta,"(67, 107), (203, 388)",38216.0,0.0,0.0
Fanta,"(216, 309), (484, 439)",34840.0,0.0,0.0
Fanta,"(344, 320), (611, 437)",31239.0,0.0,0.0
Fanta,"(329, 166), (605, 292)",34776.0,34875.2,100.0
Fanta,"(327, 166), (605, 293)",35306.0,34875.2,98.8
Fanta,"(325, 52), (601, 186)",36984.0,0.0,0.0
Fanta,"(439, 90), (639, 209)",23800.0,0.0,0.0
Fanta,"(64, 174), (327, 307)",34979.0,0.0,0.0
Fanta,"(103, 305), (353, 426)",30250.0,0.0,0.0
Fanta,"(112, 103), (369, 245)",36494.0,0.0,0.0
Fanta,"(18, 95), (259, 241)",35186.0,0.0,0.0
Bia_Truc_Bach,"(82, 44), (150, 197)",10404.0,0.0,0.0
Heiniken,"(66, 6), (159, 42)",3348.0,0.0,0.0
